genosisEntityIRI;localMCSSEntityIRI
http://example.org/genosis.owl#Global:savesDraft;http://saralutami.org/MediaContentSharingSites#savesPostAsDraft^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasLocation;http://saralutami.org/MediaContentSharingSites#hasPostLocation^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:enablesNotificationsFor;http://saralutami.org/MediaContentSharingSites#enablesNotificationForGroupMessages^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:sendsMessageTo;http://saralutami.org/MediaContentSharingSites#sendsMessageTo^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasContentURL;http://saralutami.org/MediaContentSharingSites#hasPostURL^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:subscribesTo;http://saralutami.org/MediaContentSharingSites#subscribesTo^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:dislikedContent;http://saralutami.org/MediaContentSharingSites#dislikesContent^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasLocation;http://saralutami.org/MediaContentSharingSites#hasLiveLocation^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:reportedContent;http://saralutami.org/MediaContentSharingSites#associatedWithReportedPost^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:commentCount;http://saralutami.org/MediaContentSharingSites#hasCommentCount^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:viewCount;http://saralutami.org/MediaContentSharingSites#hasViewCount^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#MCSS:Live;http://saralutami.org/MediaContentSharingSites#Live^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:unsubscribesFrom;http://saralutami.org/MediaContentSharingSites#unsubscribesFromCreator^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasLastActivityTimestamp;http://saralutami.org/MediaContentSharingSites#hasGroupMessageLastActivity^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:messageReceiver;http://saralutami.org/MediaContentSharingSites#messageReceiver^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:editsRecommendationPreferences;http://saralutami.org/MediaContentSharingSites#editsRecommendationPreferences^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#MCSS:DirectMessage;http://saralutami.org/MediaContentSharingSites#DirectMessages^^<http://www.w3.org/2001/XMLSchema#string>
