genosisEntityIRI;localMPEntityIRI
http://example.org/genosis.owl#MP:NotificationSettings;http://saralutami.org/MicrobloggingPlatforms#NotificationSettings^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:followsAccount;http://saralutami.org/MicrobloggingPlatforms#follow^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:joinsCommunity;http://saralutami.org/MicrobloggingPlatforms#joinsCommunity^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:editsAvatar;http://saralutami.org/MicrobloggingPlatforms#canEditAvatar^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#MP:LiveInteractionActivity;http://saralutami.org/MicrobloggingPlatforms#LiveInteractions^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:reports;http://saralutami.org/MicrobloggingPlatforms#reports^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#MP:Post;http://saralutami.org/MicrobloggingPlatforms#Post^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasIpAddress;http://saralutami.org/MicrobloggingPlatforms#hasPostInteractionIP^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasAccountPrivacy;http://saralutami.org/MicrobloggingPlatforms#hasPrivacySetting^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:messageReceiver;http://saralutami.org/MicrobloggingPlatforms#dmReceiver^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:commentedBy;http://saralutami.org/MicrobloggingPlatforms#commentedBy^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#MP:ReblogRetweetAction;http://saralutami.org/MicrobloggingPlatforms#ReblogRetweetPost^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasContentText;http://saralutami.org/MicrobloggingPlatforms#hasPostContent^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasLocation;http://saralutami.org/MicrobloggingPlatforms#hasLocation^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:searchesFor;http://saralutami.org/MicrobloggingPlatforms#searchesForLists^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:searchesFor;http://saralutami.org/MicrobloggingPlatforms#searchFor^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasContentURL;http://saralutami.org/MicrobloggingPlatforms#hasPostURL^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasCreationTimestamp;http://saralutami.org/MicrobloggingPlatforms#hasPostTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#MP:LikeAction;http://saralutami.org/MicrobloggingPlatforms#Likes^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasIpAddress;http://saralutami.org/MicrobloggingPlatforms#hasCommentIP^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasLocation;http://saralutami.org/MicrobloggingPlatforms#hasPostLocation^^<http://www.w3.org/2001/XMLSchema#string>
