genosisEntityIRI;localOFBEntityIRI
http://example.org/genosis.owl#Global:commentsOn;http://saralutami.org/OnlineForumBlogs#commentsOn^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasIpAddress;http://saralutami.org/OnlineForumBlogs#hasMessageIP^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasCreationTimestamp;http://saralutami.org/OnlineForumBlogs#hasRegistrationDate^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OFB:DirectMessage;http://saralutami.org/OnlineForumBlogs#DirectMessaging^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasGroupDescription;http://saralutami.org/OnlineForumBlogs#hasCommunityDescription^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasMessageContent;http://saralutami.org/OnlineForumBlogs#hasGroupMessageContent^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OFB:ScheduledPost;http://saralutami.org/OnlineForumBlogs#ScheduledPost^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:unblocksUser;http://saralutami.org/OnlineForumBlogs#unblocksUser^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OFB:DigestSummary;http://saralutami.org/OnlineForumBlogs#DigestSummary^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OFB:Poll;http://saralutami.org/OnlineForumBlogs#Polls^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:commentCount;http://saralutami.org/OnlineForumBlogs#hasCommentsCount^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:blocksUser;http://saralutami.org/OnlineForumBlogs#blocksUser^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasLastActivityTimestamp;http://saralutami.org/OnlineForumBlogs#hasLogoutTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OFB:User;http://saralutami.org/OnlineForumBlogs#User^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasProfilePicture;http://saralutami.org/OnlineForumBlogs#hasAvatarURL^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasContentText;http://saralutami.org/OnlineForumBlogs#hasAnonymousPostContent^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasScheduledPublishTimestamp;http://saralutami.org/OnlineForumBlogs#hasScheduledPublishTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasInteractionTimestamp;http://saralutami.org/OnlineForumBlogs#hasReplyTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasBio;http://saralutami.org/OnlineForumBlogs#hasBio^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:communityPinsPost;http://saralutami.org/OnlineForumBlogs#pinsPostByCommunity^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasCreationTimestamp;http://saralutami.org/OnlineForumBlogs#hasQueueCreationTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasInteractionTimestamp;http://saralutami.org/OnlineForumBlogs#hasBlockTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:contentSharedToCommunity;http://saralutami.org/OnlineForumBlogs#sharedToCommunity^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:userSharesContent;http://saralutami.org/OnlineForumBlogs#sharesContent^^<http://www.w3.org/2001/XMLSchema#string>
