genosisEntityIRI;localOSNEntityIRI
http://example.org/genosis.owl#Global:hasProfileVisibility;http://saralutami.org/OnlineSocialNetworkSites#hasAccountPrivacy^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasPrivateAccount;http://saralutami.org/OnlineSocialNetworkSites#hasAccountPrivacy^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:enablesNotificationsFor;http://saralutami.org/OnlineSocialNetworkSites#enablesNotifications^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasCaptionText;http://saralutami.org/OnlineSocialNetworkSites#hasPostCaption^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasLocation;http://saralutami.org/OnlineSocialNetworkSites#hasSellerLocation^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasMessageSentTimestamp;http://saralutami.org/OnlineSocialNetworkSites#hasMessageSentTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:savesDraft;http://saralutami.org/OnlineSocialNetworkSites#saveAsDraft^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:Live;http://saralutami.org/OnlineSocialNetworkSites#LiveVideo^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:sendsMessageTo;http://saralutami.org/OnlineSocialNetworkSites#sendsTextMessage^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:LikesReactions;http://saralutami.org/OnlineSocialNetworkSites#LikesReactions^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasProfilePicture;http://saralutami.org/OnlineSocialNetworkSites#hasProfilePicture^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:voteCount;http://saralutami.org/OnlineSocialNetworkSites#hasPollVotesCount^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:createsGroupChat;http://saralutami.org/OnlineSocialNetworkSites#createsGroupChat^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:approvesPost;http://saralutami.org/OnlineSocialNetworkSites#approvesPost^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasLocation;http://saralutami.org/OnlineSocialNetworkSites#hasPostLocation^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasCreationTimestamp;http://saralutami.org/OnlineSocialNetworkSites#hasPollCreationTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:viewCount;http://saralutami.org/OnlineSocialNetworkSites#hasViewCount^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:notificationFrequency;http://saralutami.org/OnlineSocialNetworkSites#hasNotificationFrequency^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasCreationTimestamp;http://saralutami.org/OnlineSocialNetworkSites#hasGroupCreationTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasLocation;http://saralutami.org/OnlineSocialNetworkSites#hasStoryLocation^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasMessageContent;http://saralutami.org/OnlineSocialNetworkSites#hasMessageContent^^<http://www.w3.org/2001/XMLSchema#string>
