class,dataProperty,classComment,dataPropertyComment
User,hasUserID,The primary class representing individual users in the system.,Unique identifier for the user.
User,hasUsername,The primary class representing individual users in the system.,The username chosen by the user.
User,hasEmail,The primary class representing individual users in the system.,The email address associated with the user.
User,hasPhoneNumber,The primary class representing individual users in the system.,The phone number associated with the user.
User,hasProfilePicture,The primary class representing individual users in the system.,URL of the user's profile picture.
User,hasAccountCreationDate,The primary class representing individual users in the system.,The date and time when the user's account was created.
User,hasLastLoginDate,The primary class representing individual users in the system.,The date and time of the user's last login.
User,hasPasswordHash,The primary class representing individual users in the system.,Hashed password of the user.
User,hasTwoFactorAuthenticationStatus,The primary class representing individual users in the system.,Status of two-factor authentication for the user (enabled/disabled).
User,hasSubscriptionStatus,The primary class representing individual users in the system.,Indicates whether the user has an active subscription.
User,hasPremiumMembershipStatus,The primary class representing individual users in the system.,Indicates whether the user is a premium member.
User,hasPrivacySettings,The primary class representing individual users in the system.,Privacy settings defined by the user.
User,hasNotificationPreferences,The primary class representing individual users in the system.,Notification preferences set by the user.
User,hasAccessibilityPreferences,The primary class representing individual users in the system.,"Specifies the accessibility preferences of the user, such as screen reader settings or text size."
Channel,hasChannelID,"Represents a content creator's channel on the platform, with attributes and relationships to content and users.",Unique identifier for the channel.
Channel,hasChannelName,"Represents a content creator's channel on the platform, with attributes and relationships to content and users.",Name of the channel.
Channel,hasChannelDescription,"Represents a content creator's channel on the platform, with attributes and relationships to content and users.",Description of the channel.
Channel,hasChannelCreationDate,"Represents a content creator's channel on the platform, with attributes and relationships to content and users.",Date when the channel was created.
Channel,hasChannelProfilePicture,"Represents a content creator's channel on the platform, with attributes and relationships to content and users.",URL of the channel's profile picture.
Channel,hasSubscriberCount,"Represents a content creator's channel on the platform, with attributes and relationships to content and users.",Total number of subscribers for the channel.
Channel,hasPlaylist,"Represents a content creator's channel on the platform, with attributes and relationships to content and users.",the channel to playlists
Channel,hasTotalViews,"Represents a content creator's channel on the platform, with attributes and relationships to content and users.",Total number of views across all content in the channel.
Like,hasLikeTimestamp,Represents a like interaction with content.,Records the timestamp when a like interaction occurred.
Comment,hasCommentText,Represents a comment interaction with content.,Stores the text of a comment.
Comment,hasCommentTimestamp,Represents a comment interaction with content.,Records the timestamp when a comment interaction occurred.
