class,dataProperty,classComment,dataPropertyComment
User,hasEmail,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Stores the email address associated with the user's account.
User,hasPassword,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Stores the password for the user's account.
User,hasBirthday,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Stores the user's birth date.
User,hasSecuritySettings,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).","Contains the user's security settings (e.g., two-factor authentication status)."
User,hasSubscriptionStatus,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).","Indicates the user's subscription status (e.g., premium, free)."
User,hasNotificationsSetting,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).","Specifies the user's notifications settings (e.g., email notifications enabled)."
User,hasPrivacySetting,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).","Specifies the user's privacy settings (e.g., public profile, private account)."
User,hasLogoutStatus,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates if the user is currently logged out of the platform.
ProfileSettings,hasBio,Represents profile customization settings for the user.,Stores the bio or description on the user's profile.
ProfileSettings,hasLocation,Represents profile customization settings for the user.,Indicates the user's location as shown on their profile.
ProfileSettings,hasWebsite,Represents profile customization settings for the user.,Contains the website link provided by the user in their profile.
ProfileSettings,hasBirthDate,Represents profile customization settings for the user.,Records the user's birth date displayed on their profile.
ProfileSettings,hasTips,Represents profile customization settings for the user.,Stores any tips or notable quotes the user chooses to display on their profile.
Post,hasPostURL,Represents a specific post or piece of content created by a user.,"
            Contains the public URL or permalink to the post, if available.
            Useful for referencing the post directly from an external link.
        "
Post,hasPostDeviceInfo,Represents a specific post or piece of content created by a user.,"
            Stores information about the device or app used to create the post
            (e.g., 'Twitter Web on MacBook Pro', 'Android App').
        "
Post,hasPostInteractionIP,Represents a specific post or piece of content created by a user.,"
            Captures the IP address from which the user posted. 
            Useful for forensic tracing of post origin.
        "
Post,hasPostMedia,Represents a specific post or piece of content created by a user.,"
            Holds the URL(s) or reference to media (images, videos, GIFs) 
            attached to the post.
        "
Post,hasPostLocation,Represents a specific post or piece of content created by a user.,"
            Geographical location or place the user tagged 
            (e.g., 'New York, USA').
        "
Post,hasPostContent,Represents a specific post or piece of content created by a user.,"
            Main textual content or body of the post, 
            including any caption or message written by the user.
        "
Post,hasPostTags,Represents a specific post or piece of content created by a user.,"
            Contains hashtags, labels, or additional tags associated with the post.
            Useful for categorizing or searching content by topic.
        "
Post,hasPostTimestamp,Represents a specific post or piece of content created by a user.,"
            Records the date and time when the post was created or published.
        "
