class,dataProperty,classComment,dataPropertyComment
User,hasUsername,Represents a user in the online forum or blog system.,The username of the user.
User,hasEmail,Represents a user in the online forum or blog system.,The email address associated with the user account.
User,hasPhoneNumber,Represents a user in the online forum or blog system.,The phone number associated with the user account.
User,hasAvatarURL,Represents a user in the online forum or blog system.,The URL of the user's avatar.
User,hasBio,Represents a user in the online forum or blog system.,The bio of the user.
User,hasProfileVisibility,Represents a user in the online forum or blog system.,Specifies whether the user's profile is Public or Private.
User,hasPasswordHash,Represents a user in the online forum or blog system.,The hashed password of the user.
User,hasTwoFactorAuthenticationEnabled,Represents a user in the online forum or blog system.,Indicates if two-factor authentication is enabled for the user.
User,hasNSFWVisibilitySetting,Represents a user in the online forum or blog system.,Indicates if the user has enabled NSFW content visibility.
SubscriptionPlan,hasSubscriptionType,Represents a subscription plan for a user.,"Indicates the type of subscription (e.g., Free, Premium)."
SubscriptionPlan,hasSubscriptionStartDate,Represents a subscription plan for a user.,Records the start date of a user's subscription.
SubscriptionPlan,hasSubscriptionEndDate,Represents a subscription plan for a user.,Records the end date of a user's subscription.
NotificationSettings,hasPushNotificationEnabled,Represents notification settings for a user.,Indicates whether push notifications are enabled for a user.
NotificationSettings,hasPushNotificationEnabled,Represents settings related to notifications.,Indicates whether push notifications are enabled for a user.
NotificationSettings,hasEmailNotificationEnabled,Represents notification settings for a user.,Indicates whether email notifications are enabled for a user.
NotificationSettings,hasEmailNotificationEnabled,Represents settings related to notifications.,Indicates whether email notifications are enabled for a user.
NotificationSettings,hasInAppNotificationEnabled,Represents notification settings for a user.,Indicates whether in-app notifications are enabled for a user.
NotificationSettings,hasInAppNotificationEnabled,Represents settings related to notifications.,Indicates whether in-app notifications are enabled for a user.
AnonymousSession,isAnonymousModeEnabled,Represents a session where the user operates in anonymous mode.,Indicates if anonymous mode is enabled for the user.
AnonymousSession,hasAnonymousSessionID,Represents a session where the user operates in anonymous mode.,The unique identifier for the anonymous session.
AnonymousSession,expiresAt,Represents a session where the user operates in anonymous mode.,The expiration time for the anonymous session.
AccountDeactivation,isAccountDeactivated,Represents a user's account deactivation process and state.,Indicates if the account is currently deactivated.
AccountDeactivation,deactivationReason,Represents a user's account deactivation process and state.,The reason provided for account deactivation.
AccountDeletion,isAccountDeleted,Handles the process and properties related to account deletion.,Indicates whether the account has been deleted.
AccountDeletion,deletionReason,Handles the process and properties related to account deletion.,Stores the reason for account deletion.
AccountDeletion,deletionRequestedOn,Handles the process and properties related to account deletion.,The date and time when account deletion was requested.
Session,hasLogoutTimestamp,"Handles session management, including logouts.",The date and time when the session was logged out.
Session,hasSessionID,"Handles session management, including logouts.",Unique identifier for the session.
UserAction,hasActionType,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion.","Specifies the type of action performed by the user, such as EditProfile, EnableTwoFactorAuth, or RequestAccountDeletion."
UserAction,hasTimestamp,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion.",Records the date and time when the user action was performed.
UserAction,hasReason,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion.","Optional property specifying the reason for the action, such as privacy concerns or security."
User,hasRegistrationDate,Represents a user in the online forum or blog system.,"
            The date and time when the user registered on the platform.
            Useful for forensic timeline and account history.
        "
User,hasLastLoginIP,Represents a user in the online forum or blog system.,"
            The IP address used during the user's last login.
            Important for digital forensics or geolocation.
        "
Post,hasPostTitle,"Represents posts created by users, which may contain text, media, and other metadata.",Title of the post.
Post,hasPostContent,"Represents posts created by users, which may contain text, media, and other metadata.","Content of the post, typically text or markdown."
Post,hasPostMedia,"Represents posts created by users, which may contain text, media, and other metadata.","Media associated with the post, such as images, GIFs, or videos."
Post,hasPostCreationTimestamp,"Represents posts created by users, which may contain text, media, and other metadata.",Timestamp of when the post was created.
Draft,hasDraftTitle,"Represents drafts saved by users, which can be edited and later posted.",Title of the draft.
Draft,hasDraftContent,"Represents drafts saved by users, which can be edited and later posted.","Content of the draft, typically text or markdown."
Draft,hasDraftMedia,"Represents drafts saved by users, which can be edited and later posted.","Media associated with the draft, such as images, GIFs, or videos."
Draft,hasDraftSavedTimestamp,"Represents drafts saved by users, which can be edited and later posted.",Timestamp of when the draft was saved.
ScheduledPost,hasScheduledPostTitle,Represents posts scheduled by users to be published at a future timestamp.,Title of the scheduled post.
ScheduledPost,hasScheduledPostContent,Represents posts scheduled by users to be published at a future timestamp.,Content of the scheduled post.
ScheduledPost,hasScheduledPostMedia,Represents posts scheduled by users to be published at a future timestamp.,"Media attachment for the scheduled post, such as an image or video."
ScheduledPost,hasScheduledPublishTimestamp,Represents posts scheduled by users to be published at a future timestamp.,Timestamp indicating when the scheduled post will be published.
CrossPost,hasCrosspostedTitle,Represents posts that are cross-posted from other communities or original posts.,Title of the cross-posted content.
CrossPost,hasCrosspostedContent,Represents posts that are cross-posted from other communities or original posts.,Content of the cross-posted content.
CrossPost,hasCrosspostedMedia,Represents posts that are cross-posted from other communities or original posts.,Media attachment for the cross-posted content.
TagContent,hasTagLabel,Represents content tagged by users with specific labels.,Represents the label of a tag associated with the content.
Polls,hasPollQuestion,Represents polls created by users with questions and options for interaction.,Represents the question posed in a poll.
Polls,hasPollOptions,Represents polls created by users with questions and options for interaction.,"Represents the options provided in a poll, stored as an array of strings."
Polls,hasPollStartTime,Represents polls created by users with questions and options for interaction.,Indicates the start time of a poll.
Polls,hasPollEndTime,Represents polls created by users with questions and options for interaction.,Indicates the end time of a poll.
FlairSystem,hasFlairLabel,Represents a system for assigning flair labels to posts or users to provide additional context or categorization.,Defines the label or tag associated with a flair in the system.
AnonymousMode,hasAnonymousPostTitle,Represents the functionality of sharing content anonymously within a community.,Defines the title of an anonymous post.
