class,dataProperty,classComment,dataPropertyComment
UserProfile,hasLinkedAccount,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the username or identifier of the linked social media account.
UserProfile,hasFirstName,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the first name of the user.
UserProfile,hasFirstName,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",The first name of the child.
ChildInformation,hasFirstName,Contains information about the child using Messenger Kids.,Stores the first name of the user.
ChildInformation,hasFirstName,Contains information about the child using Messenger Kids.,The first name of the child.
UserProfile,hasLastName,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the last name of the user.
UserProfile,hasLastName,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",The last name of the child.
ChildInformation,hasLastName,Contains information about the child using Messenger Kids.,Stores the last name of the user.
ChildInformation,hasLastName,Contains information about the child using Messenger Kids.,The last name of the child.
UserProfile,hasMiddleName,"Represents the profile of a user, containing personal information such as profile picture, username, and email.","Stores the middle name of the user, if applicable."
UserProfile,hasProfilePicture,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the URL or file path to the user's profile picture.
UserProfile,hasProfilePictureHash,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",For verifying the integrity of the profile picture using hash.
UserProfile,hasCoverPhoto,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the URL or file path to the user's cover photo.
UserProfile,hasUsername,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the unique username of the user.
UserProfile,hasEmail,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the email address of the user.
UserProfile,hasBio,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the biography or short description of the user.
UserProfile,hasDetails,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores additional details about the user.
UserProfile,hasHighlights,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores highlights associated with the user's profile.
UserProfile,hasAccountCreationDate,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the account creation date for the user.
UserProfile,hasAccountVerification,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Indicates whether the user's account has been verified.
PrivacySettings,hasAccountPrivacy,"Represents the privacy settings related to the user's account, including blocked accounts and story settings.","Stores the privacy setting of the user's account, indicating whether the account is private or public."
PrivacySettings,hasAccountPrivacy,Privacy-related configurations for a user's account.,"Stores the privacy setting of the user's account, indicating whether the account is private or public."
PrivacySettings,hasPrivateAccount,"Represents the privacy settings related to the user's account, including blocked accounts and story settings.",Indicates whether the user account is private.
PrivacySettings,hasPrivateAccount,Privacy-related configurations for a user's account.,Indicates whether the user account is private.
PrivacySettings,hasCloseFriends,"Represents the privacy settings related to the user's account, including blocked accounts and story settings.",Indicates whether the user has a close friends list.
PrivacySettings,hasCloseFriends,Privacy-related configurations for a user's account.,Indicates whether the user has a close friends list.
PrivacySettings,hasBlockedAccounts,"Represents the privacy settings related to the user's account, including blocked accounts and story settings.",Indicates whether the user has blocked accounts.
PrivacySettings,hasBlockedAccounts,"Represents the privacy settings related to the user's account, including blocked accounts and story settings.",List of accounts blocked by the user.
PrivacySettings,hasBlockedAccounts,Privacy-related configurations for a user's account.,Indicates whether the user has blocked accounts.
PrivacySettings,hasBlockedAccounts,Privacy-related configurations for a user's account.,List of accounts blocked by the user.
PrivacySettings,hasBlockingOptions,"Represents the privacy settings related to the user's account, including blocked accounts and story settings.",Indicates the available blocking options for the user.
PrivacySettings,hasBlockingOptions,Privacy-related configurations for a user's account.,Indicates the available blocking options for the user.
PrivacySettings,hasBlockNotifications,"Represents the privacy settings related to the user's account, including blocked accounts and story settings.",Indicates whether the user is notified about blocked accounts.
PrivacySettings,hasBlockNotifications,Privacy-related configurations for a user's account.,Indicates whether the user is notified about blocked accounts.
PrivacySettings,hasReviewBlockedAccounts,"Represents the privacy settings related to the user's account, including blocked accounts and story settings.",Indicates whether the user has reviewed the list of blocked accounts.
PrivacySettings,hasReviewBlockedAccounts,Privacy-related configurations for a user's account.,Indicates whether the user has reviewed the list of blocked accounts.
PrivacySettings,hasHideStory,"Represents the privacy settings related to the user's account, including blocked accounts and story settings.",Stores whether the user's story is hidden from certain users.
PrivacySettings,hasHideStory,Privacy-related configurations for a user's account.,Stores whether the user's story is hidden from certain users.
PrivacySettings,hasAllowStoryReplies,"Represents the privacy settings related to the user's account, including blocked accounts and story settings.",Indicates whether replies to the user's story are allowed.
PrivacySettings,hasAllowStoryReplies,Privacy-related configurations for a user's account.,Indicates whether replies to the user's story are allowed.
PrivacySettings,hasStoryExpiration,"Represents the privacy settings related to the user's account, including blocked accounts and story settings.",Stores the expiration time of the user's story.
PrivacySettings,hasStoryExpiration,Privacy-related configurations for a user's account.,Stores the expiration time of the user's story.
PrivacySettings,hasLastStoryUpdate,"Represents the privacy settings related to the user's account, including blocked accounts and story settings.",Stores the time of the last update to the user's story.
PrivacySettings,hasLastStoryUpdate,Privacy-related configurations for a user's account.,Stores the time of the last update to the user's story.
SecuritySettings,hasActiveSessions,"Represents the security settings of the user's account, including session management, two-factor authentication, and login alerts.",Indicates the number of active sessions the user has.
SecuritySettings,hasActiveSessions,Handles security configurations like two-factor authentication and password management.,Indicates the number of active sessions the user has.
SecuritySettings,hasLastLogin,"Represents the security settings of the user's account, including session management, two-factor authentication, and login alerts.",Stores the date and time of the user's last login.
SecuritySettings,hasLastLogin,Handles security configurations like two-factor authentication and password management.,Stores the date and time of the user's last login.
