subject,predicate,object,subjectComment,predicateComment,objectComment
User,ownsChannel,Channel,The primary class representing individual users in the system.,Indicates that a user owns a specific channel on the platform.,"Represents a content creator's channel on the platform, with attributes and relationships to content and users."
User,managesChannel,Channel,The primary class representing individual users in the system.,Indicates that a user manages (collaborates on) a specific channel on the platform.,"Represents a content creator's channel on the platform, with attributes and relationships to content and users."
User,canEditProfile,ProfileSettings,The primary class representing individual users in the system.,Indicates that the user can edit their general profile settings.,Sub-class representing settings a user can edit in their profile.
User,canEditProfile,ProfileSettings,The primary class representing individual users in the system.,Indicates that the user can edit their general profile settings.,"Represents the settings that can be edited in a user's profile, including profile picture, username, and personal details."
User,canEditProfilePicture,ProfileSettings,The primary class representing individual users in the system.,Indicates that the user can edit their profile picture within the profile settings.,Sub-class representing settings a user can edit in their profile.
User,canEditProfilePicture,ProfileSettings,The primary class representing individual users in the system.,Indicates that the user can edit their profile picture within the profile settings.,"Represents the settings that can be edited in a user's profile, including profile picture, username, and personal details."
User,canEditUsername,ProfileSettings,The primary class representing individual users in the system.,Indicates that the user can edit their username within the profile settings.,Sub-class representing settings a user can edit in their profile.
User,canEditUsername,ProfileSettings,The primary class representing individual users in the system.,Indicates that the user can edit their username within the profile settings.,"Represents the settings that can be edited in a user's profile, including profile picture, username, and personal details."
Channel,associatedWithUser,User,"Represents a content creator's channel on the platform, with attributes and relationships to content and users.",Links the channel to the user who owns or manages it.,The primary class representing individual users in the system.
Channel,uploadsContent,Content,"Represents a content creator's channel on the platform, with attributes and relationships to content and users.",General property linking the channel to uploaded content.,Represents all types of content on the platform.
Channel,uploadsVideo,Video,"Represents a content creator's channel on the platform, with attributes and relationships to content and users.",Links the channel to uploaded video content.,Represents video content in the system.
Channel,uploadsShortVideo,ShortVideo,"Represents a content creator's channel on the platform, with attributes and relationships to content and users.",Links the channel to uploaded short videos.,Represents short video content in the system.
Channel,uploadsLive,Live,"Represents a content creator's channel on the platform, with attributes and relationships to content and users.",Links the channel to live sessions conducted through it.,Represents live streaming content within the system.
Channel,associatedWithMonetization,Monetization,"Represents a content creator's channel on the platform, with attributes and relationships to content and users.",Links the channel to monetization settings or features.,Represents all monetization-related features and interactions.
User,likesContent,Content,The primary class representing individual users in the system.,Indicates that a user likes a specific content.,Represents all types of content on the platform.
User,likesContent,Content,The primary class representing individual users in the system.,Indicates that a channel likes a specific content.,Represents all types of content on the platform.
Channel,likesContent,Content,"Represents a content creator's channel on the platform, with attributes and relationships to content and users.",Indicates that a user likes a specific content.,Represents all types of content on the platform.
Channel,likesContent,Content,"Represents a content creator's channel on the platform, with attributes and relationships to content and users.",Indicates that a channel likes a specific content.,Represents all types of content on the platform.
Like,associatedWithContent,Content,Represents a like interaction with content.,Indicates that a like is associated with a specific content.,Represents all types of content on the platform.
Like,associatedWithContent,Content,Represents a like interaction with content.,Indicates that a comment is associated with specific content.,Represents all types of content on the platform.
Like,associatedWithContent,Content,Represents a like interaction with content.,Indicates that a share is associated with specific content.,Represents all types of content on the platform.
Like,associatedWithContent,Content,Represents a like interaction with content.,Indicates that a dislike is associated with specific content.,Represents all types of content on the platform.
Like,associatedWithContent,Content,Represents a like interaction with content.,Indicates that a report is associated with specific content.,Represents all types of content on the platform.
Like,associatedWithContent,Content,Represents a like interaction with content.,Links a post to its associated content.,Represents all types of content on the platform.
Like,associatedWithContent,Content,Represents a like interaction with content.,Links a Video post to its associated content.,Represents all types of content on the platform.
Like,associatedWithContent,Content,Represents a like interaction with content.,Links a Short Video post to its associated content.,Represents all types of content on the platform.
Like,associatedWithContent,Content,Represents a like interaction with content.,Links a Live post to its associated content.,Represents all types of content on the platform.
Comment,associatedWithContent,Content,Represents a comment interaction with content.,Indicates that a like is associated with a specific content.,Represents all types of content on the platform.
Comment,associatedWithContent,Content,Represents a comment interaction with content.,Indicates that a comment is associated with specific content.,Represents all types of content on the platform.
Comment,associatedWithContent,Content,Represents a comment interaction with content.,Indicates that a share is associated with specific content.,Represents all types of content on the platform.
Comment,associatedWithContent,Content,Represents a comment interaction with content.,Indicates that a dislike is associated with specific content.,Represents all types of content on the platform.
