subject,predicate,object,subjectComment,predicateComment,objectComment
User,canEditProfile,ProfileSettings,Represents a user in the online forum or blog system.,Indicates that a user can edit their profile settings.,Settings related to managing the user's profile.
User,canEditAvatar,ProfileSettings,Represents a user in the online forum or blog system.,Indicates that a user can edit their avatar.,Settings related to managing the user's profile.
User,canEditBio,ProfileSettings,Represents a user in the online forum or blog system.,Indicates that a user can edit their bio.,Settings related to managing the user's profile.
User,canSetProfileVisibility,ProfileSettings,Represents a user in the online forum or blog system.,Indicates that a user can set their profile visibility (Public or Private).,Settings related to managing the user's profile.
ProfileSettings,updatedBy,UserAction,Settings related to managing the user's profile.,Links profile settings to the user actions that updated them.,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion."
ProfileSettings,updatedBy,UserAction,Settings related to managing the user's profile.,Links notification settings to the user actions that updated them.,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion."
SecuritySettings,updatedBy,UserAction,Settings related to managing the user's profile security.,Links profile settings to the user actions that updated them.,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion."
SecuritySettings,updatedBy,UserAction,Settings related to managing the user's profile security.,Links notification settings to the user actions that updated them.,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion."
NotificationSettings,updatedBy,UserAction,Represents notification settings for a user.,Links profile settings to the user actions that updated them.,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion."
NotificationSettings,updatedBy,UserAction,Represents notification settings for a user.,Links notification settings to the user actions that updated them.,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion."
NotificationSettings,updatedBy,UserAction,Represents settings related to notifications.,Links profile settings to the user actions that updated them.,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion."
NotificationSettings,updatedBy,UserAction,Represents settings related to notifications.,Links notification settings to the user actions that updated them.,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion."
User,canEditPassword,SecuritySettings,Represents a user in the online forum or blog system.,Indicates that a user can edit their password.,Settings related to managing the user's profile security.
