subject,predicate,object,subjectComment,predicateComment,objectComment
UserProfile,hasProfileOn,OnlineSocialNetworkSites,"Represents the profile of a user, containing personal information such as profile picture, username, and email.","Indicates that a UserProfile exists on a specific Online Social Network Site (e.g., Facebook, Instagram, LinkedIn).","Represents various online social network platforms, such as Facebook, Instagram, LinkedIn, etc."
OnlineSocialNetworkSites,belongsTo,UserProfile,"Represents various online social network platforms, such as Facebook, Instagram, LinkedIn, etc.","The inverse property of 'hasProfileOn', indicating that a social media profile belongs to a user on a given platform.","Represents the profile of a user, containing personal information such as profile picture, username, and email."
UserProfile,isLinkedTo,UserProfile,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Indicates that a UserProfile on one platform is linked to another profile on a different platform. This property is symmetric.,"Represents the profile of a user, containing personal information such as profile picture, username, and email."
UserProfile,follows,UserProfile,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",,"Represents the profile of a user, containing personal information such as profile picture, username, and email."
UserProfile,isFollowedBy,UserProfile,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",,"Represents the profile of a user, containing personal information such as profile picture, username, and email."
UserProfile,isFriendOf,UserProfile,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",,"Represents the profile of a user, containing personal information such as profile picture, username, and email."
UserProfile,isMemberOf,Groups,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Indicates that a user is a member of a group.,Represents groups in the online social network site.
UserProfile,sameAs,UserProfile,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Indicates that two profiles on different Online Social Network Sites belong to the same person. This property is functional and inverse functional.,"Represents the profile of a user, containing personal information such as profile picture, username, and email."
UserProfile,linksAccount,OnlineSocialNetworkSites,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Links a user to their associated social network accounts.,"Represents various online social network platforms, such as Facebook, Instagram, LinkedIn, etc."
Stories,postedBy,UserProfile,"Represents temporary stories shared by users, which expire after a certain period of time.",Indicates the poster of a story.,"Represents the profile of a user, containing personal information such as profile picture, username, and email."
ContentInteraction,isTargetedToContent,ContentCreation,"The class representing user interactions with content, such as likes, reactions, and comments.","Links user interactions (like, reaction, comment) with the targeted content (posts, videos, reels).","The main class representing content creation functionality, including posts, stories, and reels."
Comments,commentedBy,User,Represents user interactions involving comments on content.,Links a comment with the User who made the comment.,The primary class representing the user in the system.
Comments,commentsOn,ContentCreation,Represents user interactions involving comments on content.,Links a comment with the ContentCreation that was commented on.,"The main class representing content creation functionality, including posts, stories, and reels."
Like,likedBy,User,Represents a user's 'like' interaction on a post or content.,Links a like interaction with the User who liked the content.,The primary class representing the user in the system.
React,reactedBy,User,"Represents a user's reaction to a post, such as love, angry, etc.",Links a reaction interaction with the User who reacted to the content.,The primary class representing the user in the system.
User,interactsWithVideo,Videos,The primary class representing the user in the system.,"Links a User's interaction with a video (e.g., watching history) to the specific video content.","Represents video content watched by users, including viewing history and notifications."
User,interactsWithReel,Reels,The primary class representing the user in the system.,Links a User's interaction with a short video or reel to the specific reel content.,"Represents short videos shared by users, often with music, effects, or remixing."
User,interactsWithReel,Reels,The primary class representing the user in the system.,Links a User's interaction with a short video or reel to the specific reel content.,"Represents reels, a type of short video content."
User,viewsMessages,DirectMessages,The primary class representing the user in the system.,Links a user to the messages they have viewed.,Represents direct messaging interactions among users on the platform.
User,sendsTextMessage,TextMessage,The primary class representing the user in the system.,Indicates that a user sent a text message.,Represents text-based messages sent within the platform.
User,sendsPhotoVideoMessage,TextMessage,The primary class representing the user in the system.,Indicates that a user sent a photo or video message.,Represents text-based messages sent within the platform.
User,sendsVoiceMessage,TextMessage,The primary class representing the user in the system.,Indicates that a user sent a voice message.,Represents text-based messages sent within the platform.
User,createsGroupChat,GroupChat,The primary class representing the user in the system.,Links a user to the creation of a group chat.,Represents group chat interactions within direct messaging.
User,addsMembersTo,GroupChat,The primary class representing the user in the system.,Links a user to the action of adding members to a group chat.,Represents group chat interactions within direct messaging.
User,removesMembersFrom,GroupChat,The primary class representing the user in the system.,Links a user to the action of removing members from a group chat.,Represents group chat interactions within direct messaging.
User,enablesNotifications,MessageNotifications,The primary class representing the user in the system.,Links a user to the action of enabling notifications.,Represents notification settings related to direct messages.
User,disablesNotifications,MessageNotifications,The primary class representing the user in the system.,Links a user to the action of disabling notifications.,Represents notification settings related to direct messages.
User,callsOneOnOneVideoCall,VideoCalls,The primary class representing the user in the system.,Links a user to a one-on-one video call.,Represents video call interactions within direct messages.
User,callsGroupVideoCall,VideoCalls,The primary class representing the user in the system.,Links a user to a group video call.,Represents video call interactions within direct messages.
User,callsOneOnOneVoiceCall,VoiceCalls,The primary class representing the user in the system.,Links a user to a one-on-one voice call.,Represents voice call interactions within direct messages.
User,callsGroupVoiceCall,VoiceCalls,The primary class representing the user in the system.,Links a user to a group voice call.,Represents voice call interactions within direct messages.
User,listsItemTo,Listings,The primary class representing the user in the system.,Links a user to an item listing they have created.,Represents the listings created by users in the marketplace.
User,listsVehicleTo,Listings,The primary class representing the user in the system.,Links a user to a vehicle listing they have created.,Represents the listings created by users in the marketplace.
User,listsPropertyTo,Listings,The primary class representing the user in the system.,Links a user to a property listing they have created.,Represents the listings created by users in the marketplace.
User,pinsGroup,PinnedGroups,The primary class representing the user in the system.,Links a user to the groups they have pinned.,Represents groups that a user has pinned.
User,enablesGroupNotifications,GroupNotifications,The primary class representing the user in the system.,Links a user to enabling notifications for a group.,Represents notification settings for a group.
User,disablesGroupNotifications,GroupNotifications,The primary class representing the user in the system.,Links a user to disabling notifications for a group.,Represents notification settings for a group.
User,hasAdminRole,Admin,The primary class representing the user in the system.,Links a user to an admin role in a group.,Represents an admin role in a group.
User,hasModeratorRole,Moderator,The primary class representing the user in the system.,Links a user to a moderator role in a group.,Represents a moderator role in a group.
User,hasMemberRole,Member,The primary class representing the user in the system.,Links a user to a member role in a group.,Represents a member role in a group.
Moderator,createsGroupEvents,Events,Represents a moderator role in a group.,Links a moderator to creating group events.,Represents group events.
Moderator,createsGroupEvents,Events,Represents a moderator role in a group.,Links a moderator to creating group events.,Represents events created and managed by users.
Moderator,cancelsGroupEvents,Events,Represents a moderator role in a group.,Links a moderator to canceling group events.,Represents group events.
Moderator,cancelsGroupEvents,Events,Represents a moderator role in a group.,Links a moderator to canceling group events.,Represents events created and managed by users.
Events,hasCoHost,User,Represents group events.,Links an event to its co-host user(s).,The primary class representing the user in the system.
Events,hasCoHost,User,Represents events created and managed by users.,Links an event to its co-host user(s).,The primary class representing the user in the system.
Moderator,setsMemberToAdmin,Admin,Represents a moderator role in a group.,Allows a moderator to assign a user as an admin.,Represents an admin role in a group.
Moderator,removesAdmin,Admin,Represents a moderator role in a group.,Allows a moderator to remove an admin role from a user.,Represents an admin role in a group.
Moderator,deletesGroup,Groups,Represents a moderator role in a group.,Allows a moderator to delete a group.,Represents groups in the online social network site.
