ont 1,ont 2,score,Comment Onto 1,Comment Onto 2
MCSS:Comment,OFB:Comment,100.0,MCSS:Represents a comment interaction with content.,OFB:Represents comments made by users on content.
MCSS:Content,OFB:Content,100.0,MCSS:Represents all types of content on the platform.,"OFB:Represents all forms of user-generated content, including posts and drafts, within the platform."
MCSS:ContentInteraction,OFB:ContentInteraction,100.0,MCSS:Represents interactions on content within the platform.,"OFB:Represents all forms of user interactions with content, including voting, liking, and replying."
MCSS:Like,OFB:Like,100.0,MCSS:Represents a like interaction with content.,OFB:Represents a like action on content.
MCSS:Monetization,OFB:Monetization,100.0,MCSS:Represents all monetization-related features and interactions.,OFB:Represents the monetization features on the platform.
MCSS:NotificationSettings,OFB:NotificationSettings,100.0,MCSS:Represents settings for managing message notifications.,OFB:Represents notification settings for a user.
MCSS:Notifications,OFB:Notifications,100.0,MCSS:Represents notifications and related interactions in the platform.,OFB:Represents notifications and their configurations.
MCSS:Post,OFB:Post,100.0,"MCSS:Represents a generic post on the platform, including audience type and schedule time.","OFB:Represents posts created by users, which may contain text, media, and other metadata."
MCSS:ProfileSettings,OFB:ProfileSettings,100.0,MCSS:Sub-class representing settings a user can edit in their profile.,OFB:Settings related to managing the user's profile.
MCSS:Subscription,OFB:Subscription,100.0,MCSS:Represents subscription-related features on the platform.,OFB:Represents subscription-based revenue generation.
MCSS:User,OFB:User,100.0,MCSS:The primary class representing individual users in the system.,OFB:Represents a user in the online forum or blog system.
MCSS:Report,OFB:Reports,92.31,MCSS:Represents a report interaction with content.,OFB:Represents user reports for violations in the community.
MCSS:AdvancedMessagingFeatures,OFB:Messaging,90.0,"MCSS:Represents advanced features for messaging, such as encryption and priority settings.",OFB:Represents the messaging functionality within the platform.
MCSS:Comment,OFB:ReplyToComments,90.0,MCSS:Represents a comment interaction with content.,OFB:Represents a reply to a comment action.
MCSS:Content,OFB:ContentInteraction,90.0,MCSS:Represents all types of content on the platform.,"OFB:Represents all forms of user interactions with content, including voting, liking, and replying."
MCSS:Content,OFB:RecommendedContent,90.0,MCSS:Represents all types of content on the platform.,OFB:Represents the content recommended to a user.
MCSS:Content,OFB:TrendingContent,90.0,MCSS:Represents all types of content on the platform.,OFB:Represents content identified as trending based on user activities.
MCSS:ContentInteraction,OFB:Content,90.0,MCSS:Represents interactions on content within the platform.,"OFB:Represents all forms of user-generated content, including posts and drafts, within the platform."
MCSS:Dislike,OFB:Like,90.0,MCSS:Represents a dislike interaction with content.,OFB:Represents a like action on content.
MCSS:LivePost,OFB:Post,90.0,MCSS:Represents posts associated with live sessions.,"OFB:Represents posts created by users, which may contain text, media, and other metadata."
MCSS:MessageAnalytics,OFB:Analytics,90.0,"MCSS:Represents analytics related to messages, such as open rate and response time.","OFB:Represents analytics data and insights for content, users, and communities."
