ont 1,ont 2,score,Comment Onto 1,Comment Onto 2
OSN:ContentInteraction,OFB:ContentInteraction,100.0,"OSN:The class representing user interactions with content, such as likes, reactions, and comments.","OFB:Represents all forms of user interactions with content, including voting, liking, and replying."
OSN:Like,OFB:Like,100.0,OSN:Represents a user's 'like' interaction on a post or content.,OFB:Represents a like action on content.
OSN:Moderator,OFB:Moderator,100.0,OSN:Represents a moderator role in a group.,OFB:Represents a moderator assigned to a community with specific roles and permissions.
OSN:NotificationSettings,OFB:NotificationSettings,100.0,"OSN:Handles configurations for notifications like push, email, and SMS.",OFB:Represents notification settings for a user.
OSN:Polls,OFB:Polls,100.0,OSN:Represents polls created in a group.,OFB:Represents polls created by users with questions and options for interaction.
OSN:SecuritySettings,OFB:SecuritySettings,100.0,"OSN:Represents the security settings of the user's account, including session management, two-factor authentication, and login alerts.",OFB:Settings related to managing the user's profile security.
OSN:User,OFB:User,100.0,OSN:The primary class representing the user in the system.,OFB:Represents a user in the online forum or blog system.
OSN:Comments,OFB:Comment,93.33,OSN:Represents user interactions involving comments on content.,OFB:Represents comments made by users on content.
OSN:ModerationActions,OFB:ModeratorActions,90.91,OSN:Represents actions that moderators or admins can take in group moderation.,OFB:Represents the actions a moderator can perform in a community.
OSN:AvatarPosts,OFB:Post,90.0,OSN:Represents posts created using avatars.,"OFB:Represents posts created by users, which may contain text, media, and other metadata."
OSN:BirthdayPosts,OFB:Post,90.0,OSN:Represents posts created for birthdays.,"OFB:Represents posts created by users, which may contain text, media, and other metadata."
OSN:Comments,OFB:ReplyToComments,90.0,OSN:Represents user interactions involving comments on content.,OFB:Represents a reply to a comment action.
OSN:ContentCreation,OFB:Content,90.0,"OSN:The main class representing content creation functionality, including posts, stories, and reels.","OFB:Represents all forms of user-generated content, including posts and drafts, within the platform."
OSN:ContentInteraction,OFB:Content,90.0,"OSN:The class representing user interactions with content, such as likes, reactions, and comments.","OFB:Represents all forms of user-generated content, including posts and drafts, within the platform."
OSN:EmojiComment,OFB:Comment,90.0,OSN:Represents a comment made by a user that contains an emoji.,OFB:Represents comments made by users on content.
OSN:Files,OFB:ProfileSettings,90.0,OSN:Represents files uploaded to a group.,OFB:Settings related to managing the user's profile.
OSN:LikesReactions,OFB:Like,90.0,OSN:Represents user interactions involving likes and reactions to content.,OFB:Represents a like action on content.
OSN:MessageNotifications,OFB:Notifications,90.0,OSN:Represents notification settings related to direct messages.,OFB:Represents notifications and their configurations.
OSN:Moderator,OFB:ModeratorActions,90.0,OSN:Represents a moderator role in a group.,OFB:Represents the actions a moderator can perform in a community.
OSN:Moderator,OFB:ModeratorStatistics,90.0,OSN:Represents a moderator role in a group.,OFB:Represents various statistics associated with a moderator's activity in the community.
OSN:NotificationSettings,OFB:Notifications,90.0,"OSN:Handles configurations for notifications like push, email, and SMS.",OFB:Represents notifications and their configurations.
OSN:Posts,OFB:PinPosts,90.0,"OSN:Represents posts created by users, including media posts, location check-ins, and live videos.",OFB:Represents pinning actions for posts by users or communities.
OSN:ShortVideoContent,OFB:Content,90.0,OSN:Represents short video content shared on social network platforms.,"OFB:Represents all forms of user-generated content, including posts and drafts, within the platform."
OSN:TextComment,OFB:Comment,90.0,OSN:Represents a text-based comment made by a user.,OFB:Represents comments made by users on content.
OSN:User,OFB:BlockUnblockUser,90.0,OSN:The primary class representing the user in the system.,OFB:Represents blocking and unblocking actions between users.
OSN:User,OFB:UserInsights,90.0,OSN:The primary class representing the user in the system.,OFB:Represents insights for users based on their drafts or contributions.
OSN:UserProfile,OFB:User,90.0,"OSN:Represents the profile of a user, containing personal information such as profile picture, username, and email.",OFB:Represents a user in the online forum or blog system.
OSN:VideoContent,OFB:Content,90.0,"OSN:The main class representing video-related content in the system, including video history and notifications.","OFB:Represents all forms of user-generated content, including posts and drafts, within the platform."
OSN:Posts,OFB:Post,88.89,"OSN:Represents posts created by users, including media posts, location check-ins, and live videos.","OFB:Represents posts created by users, which may contain text, media, and other metadata."
