ont 1,ont 2,score,Comment Onto 1,Comment Onto 2
MCSS:hasCommentText,OFB:hasCommentText,100.0,Stores the text of a comment.,Stores the text of a comment.
MCSS:hasCommentTimestamp,OFB:hasCommentTimestamp,100.0,Records the timestamp when a comment interaction occurred.,Records the timestamp when a comment was made.
MCSS:hasDescription,OFB:hasDescription,100.0,Stores the description of the video.,Provides a description for the community.
MCSS:hasEmail,OFB:hasEmail,100.0,The email address associated with the user.,The email address associated with the user account.
MCSS:hasLikeTimestamp,OFB:hasLikeTimestamp,100.0,Records the timestamp when a like interaction occurred.,Records the timestamp when a like was made.
MCSS:hasMessageStatus,OFB:hasMessageStatus,100.0,"Represents the status of the message, such as sent, delivered, or read.","Represents the status of a direct message (e.g., sent, delivered, read)."
MCSS:hasPasswordHash,OFB:hasPasswordHash,100.0,Hashed password of the user.,The hashed password of the user.
MCSS:hasPhoneNumber,OFB:hasPhoneNumber,100.0,The phone number associated with the user.,The phone number associated with the user account.
MCSS:hasRecommendationAlgorithm,OFB:hasRecommendationAlgorithm,100.0,Stores the algorithm used for generating recommendations.,Indicates the algorithm used to generate recommendations.
MCSS:hasReportReason,OFB:hasReportReason,100.0,Indicates the reason for reporting specific content.,"Specifies the reason for filing the report (e.g., Spam, Harassment, Policy Violation)."
MCSS:hasReportTimestamp,OFB:hasReportTimestamp,100.0,Records the timestamp when a report interaction occurred.,Records the timestamp when the report was filed.
MCSS:hasSearchKeyword,OFB:hasSearchKeyword,100.0,Stores the keyword used in a search action.,Stores the keyword used in a search query.
MCSS:hasShareTimestamp,OFB:hasShareTimestamp,100.0,Records the timestamp when a share interaction occurred.,Records the timestamp when content was shared.
MCSS:hasSubscriptionBenefits,OFB:hasSubscriptionBenefits,100.0,Describes the benefits associated with a subscription.,Describes the benefits included in the subscription.
MCSS:hasTimestamp,OFB:hasTimestamp,100.0,Represents the timestamp of when the message was sent.,Records the date and time when the user action was performed.
MCSS:hasUsername,OFB:hasUsername,100.0,The username chosen by the user.,The username of the user.
MCSS:hasCommentCount,OFB:hasCommentsCount,96.77,Represents the number of comments on the video.,Represents the total number of comments for a content item.
MCSS:hasViewCount,OFB:hasViewsCount,96.0,Represents the number of views the video has received.,Represents the total number of views for a content item.
MCSS:hasDislikeTimestamp,OFB:hasLikeTimestamp,91.43,Records the timestamp when a dislike interaction occurred.,Records the timestamp when a like was made.
MCSS:amount,OFB:hasDonationAmount,90.0,The amount donated in the SuperChat.,Specifies the amount donated.
MCSS:amount,OFB:hasRevenueAmount,90.0,The amount donated in the SuperChat.,Represents the total revenue generated from ads.
MCSS:donationTime,OFB:hasDonationTimestamp,90.0,The timestamp when the donation was made.,Specifies the timestamp of the donation.
MCSS:hasEmail,OFB:hasEmailFrequency,90.0,The email address associated with the user.,Indicates the frequency of email notifications.
MCSS:hasEmail,OFB:hasEmailNotificationEnabled,90.0,The email address associated with the user.,Indicates whether email notifications are enabled for a user.
MCSS:hasTimestamp,OFB:hasPinTimestamp,88.89,Represents the timestamp of when the message was sent.,Records the timestamp when a post was pinned.
MCSS:hasDescription,OFB:hasRuleDescription,87.5,Stores the description of the video.,Provides a textual description of a specific community rule.
