ont 1,ont 2,score,Comment Onto 1,Comment Onto 2
MP:hasBio,OFB:hasBio,100.0,Stores the bio or description on the user's profile.,The bio of the user.
MP:hasCommentTimestamp,OFB:hasCommentTimestamp,100.0,"
            The date and time when this comment was created.
            Useful for forensic timeline reconstruction.
        ",Records the timestamp when a comment was made.
MP:hasCommunityDescription,OFB:hasCommunityDescription,100.0,Provides a description of the community.,Provides a description for the community.
MP:hasCommunityName,OFB:hasCommunityName,100.0,Stores the name of the community.,Defines the name of the community.
MP:hasEmail,OFB:hasEmail,100.0,Stores the email address associated with the user's account.,The email address associated with the user account.
MP:hasMemberCount,OFB:hasMemberCount,100.0,Stores the number of members in the community.,Represents the total number of members in a community.
MP:hasPostContent,OFB:hasPostContent,100.0,"
            Main textual content or body of the post, 
            including any caption or message written by the user.
        ","Content of the post, typically text or markdown."
MP:hasPostMedia,OFB:hasPostMedia,100.0,"
            Holds the URL(s) or reference to media (images, videos, GIFs) 
            attached to the post.
        ","Media associated with the post, such as images, GIFs, or videos."
MP:hasDMTimestamp,OFB:hasTimestamp,92.31,"
            The date and time when the DM was sent.
        ",Records the date and time when the user action was performed.
MP:hasEmail,OFB:hasEmailFrequency,90.0,Stores the email address associated with the user's account.,Indicates the frequency of email notifications.
MP:hasEmail,OFB:hasEmailNotificationEnabled,90.0,Stores the email address associated with the user's account.,Indicates whether email notifications are enabled for a user.
MP:hasPostTimestamp,OFB:hasReportTimestamp,88.24,"
            Records the date and time when the post was created or published.
        ",Records the timestamp when the report was filed.
MP:hasPostTimestamp,OFB:hasUpvoteTimestamp,88.24,"
            Records the date and time when the post was created or published.
        ",Records the timestamp when an upvote was made.
MP:hasListDescription,OFB:hasDescription,87.5,Stores the description of the list.,Provides a description for the community.
MP:hasDMTimestamp,OFB:hasMuteTimestamp,86.67,"
            The date and time when the DM was sent.
        ",Records the timestamp when a topic or user was muted.
MP:hasSessionDuration,OFB:hasSessionID,86.09,Stores the duration of the live session.,Unique identifier for the session.
MP:hasPostTimestamp,OFB:hasTimestamp,85.71,"
            Records the date and time when the post was created or published.
        ",Records the date and time when the user action was performed.
MP:hasCommentContent,OFB:hasCommentsCount,84.85,"
            Holds the main text/body of a comment posted by a user.
        ",Represents the total number of comments for a content item.
MP:hasCommunityName,OFB:hasCommunityTheme,84.85,Stores the name of the community.,Defines the theme or aesthetic of the community.
MP:hasPassword,OFB:hasPasswordHash,84.62,Stores the password for the user's account.,The hashed password of the user.
MP:hasSubscriptionStatus,OFB:hasSubscriptionStartDate,84.44,"Indicates the user's subscription status (e.g., premium, free).",Records the start date of a user's subscription.
MP:hasPostTimestamp,OFB:hasAnonymousPostTimestamp,84.0,"
            Records the date and time when the post was created or published.
        ",Records the timestamp of when the anonymous post was created.
MP:hasCommentContent,OFB:hasCommentText,83.87,"
            Holds the main text/body of a comment posted by a user.
        ",Stores the text of a comment.
MP:hasDMTimestamp,OFB:hasAwardTimestamp,83.87,"
            The date and time when the DM was sent.
        ",Records the timestamp when an award was given.
