ont 1,ont 2,score,Comment Onto 1,Comment Onto 2
OSN:hasBio,OFB:hasBio,100.0,Stores the biography or short description of the user.,The bio of the user.
OSN:hasCommentText,OFB:hasCommentText,100.0,Stores the text of the comment.,Stores the text of a comment.
OSN:hasDescription,OFB:hasDescription,100.0,The description of the page.,Provides a description for the community.
OSN:hasEmail,OFB:hasEmail,100.0,Stores the email address of the user.,The email address associated with the user account.
OSN:hasGroupName,OFB:hasGroupName,100.0,The name of the group.,Represents the name of the group chat.
OSN:hasLogoutTimestamp,OFB:hasLogoutTimestamp,100.0,Timestamp indicating when the logout occurred.,The date and time when the session was logged out.
OSN:hasMessageContent,OFB:hasMessageContent,100.0,The message content sent in the birthday post.,Represents the content of a direct message.
OSN:hasNotificationFrequency,OFB:hasNotificationFrequency,100.0,"The frequency of group notifications (e.g., Daily, Weekly).","Defines the frequency of notifications for a community (e.g., Instant or Daily Digest)."
OSN:hasNotificationType,OFB:hasNotificationType,100.0,"Indicates the type of video notification, such as new upload, reminder, or other alerts.","Specifies the type of community notifications, such as Post or Comment."
OSN:hasPhoneNumber,OFB:hasPhoneNumber,100.0,Stores the user's phone number.,The phone number associated with the user account.
OSN:hasPollOptions,OFB:hasPollOptions,100.0,The options for the poll (Array).,"Represents the options provided in a poll, stored as an array of strings."
OSN:hasPollQuestion,OFB:hasPollQuestion,100.0,The question for the poll.,Represents the question posed in a poll.
OSN:hasPostCreationTimestamp,OFB:hasPostCreationTimestamp,100.0,The timestamp when the avatar post was created.,Timestamp of when the post was created.
OSN:hasReportTimestamp,OFB:hasReportTimestamp,100.0,Timestamp for submitting a problem report.,Records the timestamp when the report was filed.
OSN:hasRuleDescription,OFB:hasRuleDescription,100.0,The description of the group rule.,Provides a textual description of a specific community rule.
OSN:hasTimestamp,OFB:hasTimestamp,100.0,Stores the timestamp when the like was given.,Records the date and time when the user action was performed.
OSN:hasUsername,OFB:hasUsername,100.0,Stores the unique username of the user.,The username of the user.
OSN:hasViewCount,OFB:hasViewsCount,96.0,The total number of views on the page.,Represents the total number of views for a content item.
OSN:hasReactionType,OFB:hasActionType,92.86,"Stores the type of reaction given, such as Love, Angry, etc.","Specifies the type of action performed by the user, such as EditProfile, EnableTwoFactorAuth, or RequestAccountDeletion."
OSN:hasLastLogin,OFB:hasLastLoginIP,92.31,Stores the date and time of the user's last login.,"
            The IP address used during the user's last login.
            Important for digital forensics or geolocation.
        "
OSN:hasFileType,OFB:hasFilterType,91.67,"The type of the file (e.g., PDF, Image).","Specifies the type of filter used (e.g., flair, tags)."
OSN:hasPollCreationTimestamp,OFB:hasPostCreationTimestamp,91.67,The timestamp when the poll was created.,Timestamp of when the post was created.
OSN:hasMessageSendTimestamp,OFB:hasMessageTimestamp,90.48,Timestamp of when a text message was sent.,Specifies the timestamp of a direct message.
OSN:hasMessageSentTimestamp,OFB:hasMessageTimestamp,90.48,The timestamp when a message was sent to the seller.,Specifies the timestamp of a direct message.
OSN:hasMessageViewTimestamp,OFB:hasMessageTimestamp,90.48,Timestamp of when a message was viewed by the user.,Specifies the timestamp of a direct message.
OSN:hasEmail,OFB:hasEmailFrequency,90.0,Stores the email address of the user.,Indicates the frequency of email notifications.
OSN:hasEmail,OFB:hasEmailNotificationEnabled,90.0,Stores the email address of the user.,Indicates whether email notifications are enabled for a user.
OSN:hasEmailNotificationsStatus,OFB:hasEmail,90.0,Status of email notifications (enabled/disabled).,The email address associated with the user account.
OSN:hasPhoneNumberVerificationStatus,OFB:hasPhoneNumber,90.0,Indicates the verification status of the user's phone number.,The phone number associated with the user account.
OSN:hasRuleCreationTimestamp,OFB:hasQueueCreationTimestamp,89.8,The timestamp when the rule was created.,Records the timestamp when the moderation queue was created.
OSN:hasMessageContentType,OFB:hasMessageContent,89.47,"Specifies the type of content in the message, e.g., text, photo, video.",Represents the content of a direct message.
OSN:hasNotificationIP,OFB:hasNotificationType,88.89,Stores the IP address of the user who received the video notification.,"Specifies the type of community notifications, such as Post or Comment."
OSN:hasTimestamp,OFB:hasPinTimestamp,88.89,Stores the timestamp when the like was given.,Records the timestamp when a post was pinned.
OSN:hasPostTimestamp,OFB:hasReportTimestamp,88.24,Stores post's timestamp,Records the timestamp when the report was filed.
