ont 1,ont 2,score,Comment Onto 1,Comment Onto 2
OSN:ContentCreation,MP:ContentCreation,100,"OSN:The main class representing content creation functionality, including posts, stories, and reels.",MP:Represents actions related to creating and managing content on a microblogging platform.
OSN:ContentInteraction,MP:ContentInteraction,100,"OSN:The class representing user interactions with content, such as likes, reactions, and comments.",MP:
OSN:NotificationSettings,MP:NotificationSettings,100,"OSN:Handles configurations for notifications like push, email, and SMS.",MP:Represents settings related to notifications that the user can configure.
OSN:User,MP:User,100,OSN:The primary class representing the user in the system.,"MP:Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
OSN:Comments,MP:Comment,93.33,OSN:Represents user interactions involving comments on content.,MP:
OSN:AvatarPosts,MP:Post,90,OSN:Represents posts created using avatars.,MP:Represents a specific post or piece of content created by a user.
OSN:BirthdayPosts,MP:Post,90,OSN:Represents posts created for birthdays.,MP:Represents a specific post or piece of content created by a user.
OSN:EmojiComment,MP:Comment,90,OSN:Represents a comment made by a user that contains an emoji.,MP:
OSN:Files,MP:ProfileSettings,90,OSN:Represents files uploaded to a group.,MP:Represents profile customization settings for the user.
OSN:LikesReactions,MP:Likes,90,OSN:Represents user interactions involving likes and reactions to content.,MP:
OSN:MessageNotifications,MP:Notifications,90,OSN:Represents notification settings related to direct messages.,MP:Represents user notifications and their related settings on the platform.
OSN:NotificationSettings,MP:Notifications,90,"OSN:Handles configurations for notifications like push, email, and SMS.",MP:Represents user notifications and their related settings on the platform.
OSN:TextComment,MP:Comment,90,OSN:Represents a text-based comment made by a user.,MP:
OSN:UserProfile,MP:User,90,"OSN:Represents the profile of a user, containing personal information such as profile picture, username, and email.","MP:Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
OSN:Like,MP:Likes,88.89,OSN:Represents a user's 'like' interaction on a post or content.,MP:
OSN:Posts,MP:Post,88.89,"OSN:Represents posts created by users, including media posts, location check-ins, and live videos.",MP:Represents a specific post or piece of content created by a user.
OSN:GroupNotifications,MP:Notifications,83.87,OSN:Represents notification settings for a group.,MP:Represents user notifications and their related settings on the platform.
OSN:VideoNotifications,MP:Notifications,83.87,"OSN:Represents notifications related to video content, such as new video uploads, reminders, and other updates.",MP:Represents user notifications and their related settings on the platform.
OSN:GIFComment,MP:Comment,82.35,OSN:Represents a comment made by a user that contains a GIF.,MP:
OSN:Posts,MP:ReblogRetweetPost,80,"OSN:Represents posts created by users, including media posts, location check-ins, and live videos.",MP:
OSN:ContentInteraction,MCSS:ContentInteraction,100,"OSN:The class representing user interactions with content, such as likes, reactions, and comments.",MCSS:Represents interactions on content within the platform.
OSN:DirectMessages,MCSS:DirectMessages,100,OSN:Represents direct messaging interactions among users on the platform.,MCSS:Represents the functionality and content of direct messages in the system.
OSN:Like,MCSS:Like,100,OSN:Represents a user's 'like' interaction on a post or content.,MCSS:Represents a like interaction with content.
OSN:NotificationSettings,MCSS:NotificationSettings,100,"OSN:Handles configurations for notifications like push, email, and SMS.",MCSS:Represents settings for managing message notifications.
OSN:User,MCSS:User,100,OSN:The primary class representing the user in the system.,MCSS:The primary class representing individual users in the system.
OSN:Comments,MCSS:Comment,93.33,OSN:Represents user interactions involving comments on content.,MCSS:Represents a comment interaction with content.
OSN:VideoNotifications,MCSS:HideNotifications,91.43,"OSN:Represents notifications related to video content, such as new video uploads, reminders, and other updates.",MCSS:Represents the functionality to hide notifications for users or channels.
OSN:Videos,MCSS:Video,90.91,"OSN:Represents video content watched by users, including viewing history and notifications.",MCSS:Represents video content in the system.
OSN:AvatarPosts,MCSS:Post,90,OSN:Represents posts created using avatars.,"MCSS:Represents a generic post on the platform, including audience type and schedule time."
OSN:BirthdayPosts,MCSS:Post,90,OSN:Represents posts created for birthdays.,"MCSS:Represents a generic post on the platform, including audience type and schedule time."
OSN:ContentCreation,MCSS:Content,90,"OSN:The main class representing content creation functionality, including posts, stories, and reels.",MCSS:Represents all types of content on the platform.
OSN:ContentInteraction,MCSS:Content,90,"OSN:The class representing user interactions with content, such as likes, reactions, and comments.",MCSS:Represents all types of content on the platform.
OSN:EmojiComment,MCSS:Comment,90,OSN:Represents a comment made by a user that contains an emoji.,MCSS:Represents a comment interaction with content.
OSN:Files,MCSS:ProfileSettings,90,OSN:Represents files uploaded to a group.,MCSS:Sub-class representing settings a user can edit in their profile.
OSN:Like,MCSS:Dislike,90,OSN:Represents a user's 'like' interaction on a post or content.,MCSS:Represents a dislike interaction with content.
OSN:LikesReactions,MCSS:Like,90,OSN:Represents user interactions involving likes and reactions to content.,MCSS:Represents a like interaction with content.
OSN:LiveVideo,MCSS:Live,90,OSN:Represents live video broadcasts created by the user.,MCSS:Represents live streaming content within the system.
OSN:LiveVideo,MCSS:Video,90,OSN:Represents live video broadcasts created by the user.,MCSS:Represents video content in the system.
OSN:Marketplace,MCSS:CreatorMarketplace,90,OSN:Represents the marketplace feature in the online social network site.,MCSS:Represents interactions with the creator marketplace.
OSN:MessageNotifications,MCSS:Notifications,90,OSN:Represents notification settings related to direct messages.,MCSS:Represents notifications and related interactions in the platform.
OSN:NotificationSettings,MCSS:Notifications,90,"OSN:Handles configurations for notifications like push, email, and SMS.",MCSS:Represents notifications and related interactions in the platform.
OSN:PhotoVideo,MCSS:Video,90,OSN:Represents posts containing photos or videos uploaded by the user.,MCSS:Represents video content in the system.
OSN:ReelVideo,MCSS:Video,90,OSN:Represents a short video that is part of a reel.,MCSS:Represents video content in the system.
OSN:ShortVideoContent,MCSS:Content,90,OSN:Represents short video content shared on social network platforms.,MCSS:Represents all types of content on the platform.
