ont 1,ont 2,score,Comment Onto 1,Comment Onto 2
OSN:commentedBy,MP:commentedBy,100.0,Links a comment with the User who made the comment.,"
            Points to the user who wrote this comment.
        "
OSN:commentsOn,MP:commentsOn,100.0,Links a comment with the ContentCreation that was commented on.,
OSN:postedBy,MP:postedBy,100.0,Indicates the poster of a story.,"
        Indicates the user who created or published this post.
        "
OSN:follows,MP:follow,92.31,,
OSN:commentsOn,MP:commentsOnReblogRetweetPost,90.0,Links a comment with the ContentCreation that was commented on.,
OSN:follows,MP:addsOrFollowsList,90.0,,Indicates that a user adds or follows a list on the platform.
OSN:follows,MP:followsHost,90.0,,Indicates that a user is following the host of a live space or room.
OSN:isFollowedBy,MP:follow,90.0,,
OSN:commentsOn,MP:commentedOn,85.71,Links a comment with the ContentCreation that was commented on.,"
            Points to the post on which this comment was made.
            For reblog/retweet, you could similarly add commentedOnReblogRetweetPost, etc.
        "
OSN:editsAvatar,MP:canEditAvatar,83.33,Links a user to editing an existing avatar.,Indicates permission to edit profile avatar.
OSN:commentedBy,MP:commentedOn,81.82,Links a comment with the User who made the comment.,"
            Points to the post on which this comment was made.
            For reblog/retweet, you could similarly add commentedOnReblogRetweetPost, etc.
        "
OSN:commentsActivities,MP:commentsOn,80.0,Records activities related to commenting on content.,
OSN:follows,MP:unfollow,80.0,,
OSN:commentedBy,MCSS:commentedBy,100.0,Links a comment with the User who made the comment.,Links a comment with the User who made the comment.
OSN:commentsOn,MCSS:commentsOnContent,90.0,Links a comment with the ContentCreation that was commented on.,Indicates that a user comments on specific content.
OSN:enablesNotifications,MCSS:enablesNotificationForGroupMessages,87.69,Links a user to the action of enabling notifications.,Enables notifications for group messages.
OSN:viewsMessages,MCSS:viewsMessageStats,86.67,Links a user to the messages they have viewed.,Represents a user viewing analytics for a specific message.
OSN:belongsTo,MCSS:belongsToLive,81.82,"The inverse property of 'hasProfileOn', indicating that a social media profile belongs to a user on a given platform.",Links the SuperChat donation to the corresponding live stream event.
OSN:interactsWithVideo,MCSS:interactsWithShop,80.0,"Links a User's interaction with a video (e.g., watching history) to the specific video content.",Indicates that a User interacts with shopping-related features.
OSN:sendsTextMessage,MCSS:sendsMessageTo,80.0,Indicates that a user sent a text message.,Represents a user sending a message to another user.
OSN:approvesPost,OFB:approvesPost,100.0,Allows an admin to approve a post submitted by a group member.,Indicates that a moderator has approved a post in the community.
OSN:commentsOn,OFB:commentsOn,100.0,Links a comment with the ContentCreation that was commented on.,Links a user to the content they have commented on.
