class,dataProperty,classComment,dataPropertyComment
ThresholdOfSuspiciousActivity,ThresholdCriteria,"Represents a threshold that, when exceeded, triggers suspicion.",Specifies the criteria for a threshold of suspicious activity.
ThresholdOfSuspiciousActivity,hasThresholdValue,"Represents a threshold that, when exceeded, triggers suspicion.",Stores the numerical value of a threshold for suspicious activity.
Crime_Case_Solving,hasCaseID,Represents the process and methods used to solve a crime case.,Stores the unique identifier for a crime case.
Crime_Case_Solving,hasEvidenceChainOfCustody,Represents the process and methods used to solve a crime case.,Tracks the chain of custody for evidence in a crime case.
UserProfile,hasFirstName,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the first name of the user.
UserProfile,hasLastName,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the last name of the user.
UserProfile,hasMiddleName,"Represents the profile of a user, containing personal information such as profile picture, username, and email.","Stores the middle name of the user, if applicable."
UserProfile,hasProfilePicture,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the URL or file path to the user's profile picture.
UserProfile,hasProfilePictureHash,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",For verifying the integrity of the profile picture using hash.
UserProfile,hasCoverPhoto,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the URL or file path to the user's cover photo.
UserProfile,hasUsername,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the unique username of the user.
UserProfile,hasEmail,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the email address of the user.
UserProfile,hasBio,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the biography or short description of the user.
UserProfile,hasDetails,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores additional details about the user.
UserProfile,hasHighlights,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores highlights associated with the user's profile.
UserProfile,hasAccountCreationDate,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Stores the account creation date for the user.
UserProfile,hasAccountVerification,"Represents the profile of a user, containing personal information such as profile picture, username, and email.",Indicates whether the user's account has been verified.
